season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g,mp,orb_pct,per,stl_pct,tov_pct,trb_pct,ts_pct
1998,Gary Payton,PG,29,SEA,10,10,42.8,8.7,18.3,1.9,5,6.8,13.3,0.9,2.5,3.4,7,1.8,0.1,2.6,24,428,2.6,23,2.4,11.3,4.8,0.585
1997,Tim Hardaway,PG,30,MIA,17,17,41.2,6.1,16.9,2.5,7.9,3.6,9,0.8,3.3,4.1,7,1.6,0.1,3.1,18.7,701,2.2,15.9,2.1,14,5.7,0.488
1996,Derek Harper,PG,34,NYK,8,8,36.6,3.6,10.3,1.4,4.4,2.3,5.9,0,2.1,2.1,4.8,1.3,0.1,1.8,10,293,0,9.3,1.9,13.6,3.6,0.451
1995,Derek Harper,PG,33,NYK,11,11,35.3,5.1,9.9,2.5,4.3,2.6,5.6,0.5,3,3.5,5.6,1,0.1,2.4,14.3,388,1.8,16.6,1.6,17.9,6.5,0.657
1995,Kenny Smith,PG,29,HOU,22,22,29.6,3.5,8.1,2.1,4.7,1.5,3.4,0.3,1.9,2.2,4.5,0.6,0.1,1.4,10.8,652,1.3,13.8,1.1,13.7,4.4,0.608
1994,Kevin Johnson,PG,27,PHO,10,10,42.7,9.7,21.2,0.3,1,9.4,20.2,1,2.5,3.5,9.6,1,0.1,3.4,26.6,427,2.4,22.1,1.2,12.1,4.6,0.537
1994,Mahmoud Abdul-Rauf,PG,24,DEN,12,12,28.3,4.8,12.8,1,3.1,3.8,9.8,0.3,1.3,1.5,2.5,0.4,0.1,1.2,12.9,339,1.1,11.8,0.8,7.7,3.1,0.462
1994,Haywoode Workman,PG,28,IND,16,15,31.9,2.8,8.2,0.4,1.3,2.4,6.9,0.7,2.5,3.2,7,1.8,0.1,2.4,8,511,2.7,12.4,3,20.5,6,0.433
1993,B.J. Armstrong,PG,25,CHI,19,19,33.8,4.6,8.8,1.1,2.2,3.5,6.7,0.3,1.2,1.5,3.3,1,0.1,0.7,11.4,643,1.1,13.2,1.6,7.3,2.7,0.611
1993,Kenny Smith,PG,27,HOU,12,12,32.6,5.3,10.7,1.9,3.8,3.3,6.8,0.2,1.8,2,4.2,0.8,0.1,2.2,14.8,391,0.7,14.8,1.2,15.3,3.5,0.615
1993,Doc Rivers,PG,31,NYK,15,15,30.5,3.2,7.1,0.7,2.1,2.5,5,0.4,2.2,2.6,5.7,1.9,0.1,2,10.2,458,1.6,15.2,3.4,18.5,5.1,0.578
1992,John Bagley,PG,31,BOS,10,10,30.8,4.2,9.5,0.1,0.4,4.1,9.1,0.8,1.9,2.7,8.5,0.9,0.1,3.5,11.1,308,3,13.6,1.5,23.9,5.4,0.499
1992,Terry Porter,PG,28,POR,21,21,41.4,7,13.6,1.8,3.7,5.2,9.9,1.2,3.4,4.6,6.7,1,0.1,2.2,21.4,870,3.5,19.5,1.3,11.7,6.8,0.647
1991,Brian Shaw,PG,24,BOS,11,11,28.7,4.3,9.1,0.1,0.3,4.2,8.8,0.7,2.7,3.5,4.6,0.9,0.1,2.3,11,316,3,12.5,1.6,18.1,6.9,0.534
1991,Terry Porter,PG,27,POR,16,16,37.2,6.4,12.8,1.1,2.9,5.3,9.8,0.5,2.3,2.8,6.6,1.5,0.1,2,18.1,595,1.5,18.7,2.1,11.8,4.4,0.605
1990,Magic Johnson,PG,30,LAL,9,9,41.8,8.4,17.2,0.6,2.8,7.9,14.4,1.3,5,6.3,12.8,1.2,0.1,4,25.2,376,4,25,1.5,15.9,9,0.598
1990,Terry Porter,PG,26,POR,21,21,38.8,6,13,1.9,4.9,4.1,8.2,0.4,2.5,2.9,7.4,1.3,0.1,3,20.6,815,1.2,18.5,1.7,15.2,4.1,0.625
